		Total nat. gas (kBtu/h)	Dry-bulb temperature (°C)
			
Date	Time	18 Havelock-test-Newcastle.aps	NewcastleEWY.fwt
Sun, 01/Jan	24:00		
	12:45	7.887	
	13:00		2.40
	13:15	7.736	
	13:45	7.600	
	14:00		2.40
	14:15	7.651	
	14:45	7.970	
	15:00		1.30
	15:15	8.382	
	15:45	8.841	
	16:00		-0.60
	16:15	9.144	
	16:45	9.298	
	17:00		-0.90
	17:15	9.417	
	17:45	9.519	
	18:00		-1.20
	18:15	9.071	
	18:45	9.177	
	19:00		-1.90
	19:15	9.265	
	19:45	9.339	
	20:00		-2.30
	20:15	9.378	
	20:45	9.399	
	21:00		-2.00
	21:15	9.419	
	21:45	9.432	
	22:00		-1.70
	22:15	10.312	
	22:45	10.300	
	23:00		-2.00
	23:15	10.423	
	23:45	10.388	
Mon, 09/Jan	24:00		-1.90
	00:15	10.509	
	00:45	10.564	
	01:00		-2.40
	01:15	10.556	
	01:45	10.482	
	02:00		-1.60
	02:15	10.522	
	02:45	10.675	
	03:00		-3.00
	03:15	10.805	
	03:45	10.913	
	04:00		-3.90
	04:15	10.976	
	04:45	11.035	
	05:00		-3.90
	05:15	11.115	
	05:45	11.212	
	06:00		-4.30
	06:15	11.243	
	06:45	11.217	
	07:00		-3.90
	07:15	11.181	
	07:45	11.134	
	08:00		-3.40
	08:15	10.999	
	08:45	10.951	
	09:00		-3.40
	09:15	10.284	
	09:45	10.231	
	10:00		-3.00
	10:15	10.145	
	10:45	9.999	
	11:00		-1.60
	11:15	9.890	
	11:45	9.809	
	12:00		-1.30
	12:15	9.756	
	12:45	9.766	
	13:00		-1.50
	13:15	9.722	
	13:45	9.615	
	14:00		-0.40
	14:15	9.600	
	14:45	9.697	
	15:00		-0.40
	15:15	9.823	
	15:45	9.953	
	16:00		-0.80
	16:15	10.086	
	16:45	10.220	
	17:00		-1.60
	17:15	10.284	
	17:45	10.286	
	18:00		-1.30
	18:15	9.683	
	18:45	9.574	
	19:00		-0.30
	19:15	9.452	
	19:45	9.325	
	20:00		0.80
	20:15	9.264	
	20:45	9.285	
	21:00		0.70
	21:15	9.356	
	21:45	9.467	
	22:00		-0.20
	22:15	10.369	
	22:45	10.301	
	23:00		-0.20
	23:15	10.363	
	23:45	10.261	
Tue, 10/Jan	24:00		0.30
	00:15	10.293	
	00:45	10.236	
	01:00		0.60
	01:15	10.198	
	01:45	10.178	
	02:00		0.60
	02:15	10.107	
	02:45	9.993	
	03:00		1.60
	03:15	9.916	
	03:45	9.877	
	04:00		1.90
	04:15	9.875	
	04:45	9.908	
	05:00		1.50
	05:15	9.925	
	05:45	9.926	
	06:00		1.40
	06:15	9.975	
	06:45	10.074	
	07:00		0.40
	07:15	10.118	
	07:45	10.107	
	08:00		0.50
	08:15	10.076	
	08:45	9.982	
	09:00		0.80
	09:15	9.318	
	09:45	9.314	
	10:00		0.60
	10:15	9.340	
	10:45	9.356	
	11:00		0.10
	11:15	9.351	
	11:45	9.375	
	12:00		0.10
	12:15	9.429	
	12:45	9.484	
	13:00		-0.10
	13:15	9.535	
	13:45	9.566	
	14:00		-0.50
	14:15	9.617	
	14:45	9.726	
	15:00		-1.10
	15:15	9.825	
	15:45	9.904	
	16:00		-0.90
	16:15	9.980	
	16:45	10.052	
	17:00		-1.10
	17:15	10.099	
	17:45	10.125	
	18:00		-1.00
	18:15	9.596	
	18:45	9.610	
	19:00		-1.10
	19:15	9.644	
	19:45	9.701	
	20:00		-1.60
	20:15	9.744	
	20:45	9.788	
	21:00		-1.70
	21:15	9.856	
	21:45	9.942	
	22:00		-2.20
	22:15	10.846	
	22:45	10.809	
	23:00		-2.30
	23:15	10.908	
	23:45	10.843	
Wed, 11/Jan	24:00		-2.00
	00:15	10.921	
	00:45	10.927	
	01:00		-2.10
	01:15	11.005	
	01:45	11.103	
	02:00		-2.60
	02:15	11.160	
	02:45	11.176	
	03:00		-2.60
	03:15	11.188	
