DateTime,Total nat. gas (kBtu/h),Dry-bulb temperature (°C)
02-14 09:15,7.604,4.2
02-14 09:45,7.337,4.2
02-14 10:15,7.165,4.6
02-14 10:45,7.055,4.6
02-14 11:15,6.939,4.8
02-14 11:45,6.863,4.8
02-14 12:15,6.778,4.6
02-14 12:45,6.555,4.6
02-14 13:15,6.307,4.2
02-14 13:45,6.178,4.2
02-14 14:15,6.117,4.2
02-14 14:45,6.128,4.2
02-14 15:15,6.302,3.6
02-14 15:45,6.728,3.6
02-14 16:15,7.212,2.2
02-14 16:45,7.592,2.2
02-14 17:15,7.869,1.4
02-14 17:45,8.058,1.4
02-14 18:15,7.705,-0.3
02-14 18:45,7.924,-0.3
02-14 19:15,8.026,0.1
02-14 19:45,8.022,0.1
02-14 20:15,8.089,-0.8
02-14 20:45,8.243,-0.8
02-14 21:15,8.333,-0.4
02-14 21:45,8.351,-0.4
02-14 22:15,9.21,-0.1
02-14 22:45,9.144,-0.1
02-14 23:15,9.262,-0.4
02-14 23:45,9.275,-0.4
02-15 00:15,9.421,-0.8
02-15 00:45,9.475,-0.8
02-15 01:15,9.539,-1.3
02-15 01:45,9.61,-1.3
02-15 02:15,9.63,-0.8
02-15 02:45,9.598,-0.8
02-15 03:15,9.617,-1.3
02-15 03:45,9.688,-1.3
02-15 04:15,9.734,-1.3
02-15 04:45,9.755,-1.3
02-15 05:15,9.771,-1.2
02-15 05:45,9.779,-1.2
02-15 06:15,9.796,-1.3
02-15 06:45,9.821,-1.3
02-15 07:15,9.824,-1.1
02-15 07:45,9.796,-1.1
02-15 08:15,9.699,0.0
02-15 08:45,9.488,0.0
02-15 09:15,8.666,1.2
02-15 09:45,8.481,1.2
02-15 10:15,8.31,2.2
02-15 10:45,8.048,2.2
02-15 11:15,7.676,3.0
02-15 11:45,7.289,3.0
02-15 12:15,7.014,2.9
02-15 12:45,6.927,2.9
02-15 13:15,6.868,3.0
02-15 13:45,6.682,3.0
02-15 14:15,6.67,1.4
02-15 14:45,7.027,1.4
02-15 15:15,7.347,1.7
02-15 15:45,7.493,1.7
02-15 16:15,7.695,1.1
02-15 16:45,8.022,1.1
02-15 17:15,8.313,1.1
02-15 17:45,8.453,1.1
02-15 18:15,8.03,0.2
02-15 18:45,8.167,0.2
02-15 19:15,8.279,-0.4
02-15 19:45,8.374,-0.4
02-15 20:15,8.43,-0.2
02-15 20:45,8.466,-0.2
02-15 21:15,8.443,1.1
02-15 21:45,8.349,1.1
02-15 22:15,9.2,0.2
02-15 22:45,9.239,0.2
02-15 23:15,9.375,0.5
02-15 23:45,9.317,0.5
02-16 00:15,9.417,0.2
02-16 00:45,9.446,0.2
02-16 01:15,9.462,0.2
02-16 01:45,9.466,0.2
02-16 02:15,9.476,0.1
02-16 02:45,9.493,0.1
02-16 03:15,9.516,-0.1
02-16 03:45,9.546,-0.1
02-16 04:15,9.528,0.6
02-16 04:45,9.46,0.6
02-16 05:15,9.409,0.9
02-16 05:45,9.377,0.9
02-16 06:15,9.399,0.2
02-16 06:45,9.477,0.2
02-16 07:15,9.513,0.3
02-16 07:45,9.499,0.3
02-16 08:15,9.448,0.4
02-16 08:45,9.294,0.4
02-16 09:15,8.554,0.2
02-16 09:45,8.515,0.2
02-16 10:15,8.467,1.0
02-16 10:45,8.356,1.0
02-16 11:15,8.313,0.0
02-16 11:45,8.255,0.0
02-16 12:15,8.035,1.5
02-16 12:45,7.833,1.5
02-16 13:15,7.81,1.7
02-16 13:45,7.956,1.7
02-16 14:15,8.065,2.1
02-16 14:45,7.995,2.1
02-16 15:15,7.965,1.4
02-16 15:45,8.073,1.4
02-16 16:15,8.253,0.7
02-16 16:45,8.516,0.7
02-16 17:15,8.786,0.0
02-16 17:45,8.971,0.0
02-16 18:15,8.51,0.2
02-16 18:45,8.523,0.2
02-16 19:15,8.525,0.4
02-16 19:45,8.52,0.4
02-16 20:15,8.509,0.7
02-16 20:45,8.514,0.7
02-16 21:15,8.538,0.7
02-16 21:45,8.572,0.7
02-16 22:15,9.452,0.5
02-16 22:45,9.42,0.5
02-16 23:15,9.52,0.8
02-16 23:45,9.457,0.8
02-17 00:15,9.5,1.4
02-17 00:45,9.423,1.4
02-17 01:15,9.406,0.9
02-17 01:45,9.451,0.9
02-17 02:15,9.507,0.3
02-17 02:45,9.574,0.3
02-17 03:15,9.601,0.5
02-17 03:45,9.587,0.5
02-17 04:15,9.565,0.8
02-17 04:45,9.535,0.8
02-17 05:15,9.502,1.1
02-17 05:45,9.469,1.1
02-17 06:15,9.462,0.9
02-17 06:45,9.481,0.9
02-17 07:15,9.555,-0.4
02-17 07:45,9.676,-0.4
02-17 08:15,9.707,-0.3
02-17 08:45,9.6,-0.3
02-17 09:15,8.88,0.0
02-17 09:45,8.79,0.0
02-17 10:15,8.708,0.8
02-17 10:45,8.608,0.8
02-17 11:15,8.451,1.9
02-17 11:45,8.263,1.9
02-17 12:15,8.185,1.7
02-17 12:45,8.267,1.7
02-17 13:15,8.33,1.8
02-17 13:45,8.236,1.8
02-17 14:15,8.138,2.0
02-17 14:45,8.173,2.0
02-17 15:15,8.364,0.4
02-17 15:45,8.687,0.4
02-17 16:15,8.939,0.1
02-17 16:45,9.073,0.1
02-17 17:15,9.126,0.8
02-17 17:45,9.107,0.8
02-17 18:15,8.524,1.3
02-17 18:45,8.478,1.3
02-17 19:15,8.499,0.4
02-17 19:45,8.597,0.4
02-17 20:15,8.688,-0.2
02-17 20:45,8.79,-0.2
02-17 21:15,8.811,0.8
02-17 21:45,8.738,0.8
02-17 22:15,9.536,1.0
02-17 22:45,9.451,1.0
02-17 23:15,9.622,-0.6
02-17 23:45,9.758,-0.6
02-18 00:15,9.92,-0.2
02-18 00:45,9.877,-0.2
02-18 01:15,9.793,0.9
02-18 01:45,9.67,0.9
02-18 02:15,9.605,0.9
02-18 02:45,9.598,0.9
02-18 03:15,9.637,0.1
02-18 03:45,9.722,0.1
02-18 04:15,9.751,0.4
02-18 04:45,9.72,0.4
02-18 05:15,9.722,0.0
02-18 05:45,9.765,0.0
02-18 06:15,9.82,-0.5
02-18 06:45,9.882,-0.5
02-18 07:15,9.936,-0.9
02-18 07:45,9.977,-0.9
02-18 08:15,9.937,-0.1
02-18 08:45,9.767,-0.1
02-18 09:15,8.953,1.1
02-18 09:45,8.734,1.1
02-18 10:15,8.536,2.0
02-18 10:45,8.272,2.0
02-18 11:15,7.912,2.5
02-18 11:45,7.524,2.5
02-18 12:15,7.151,3.2
02-18 12:45,6.871,3.2
02-18 13:15,6.813,3.4
02-18 13:45,7.083,3.4
02-18 14:15,7.371,2.6
02-18 14:45,7.299,2.6
02-18 15:15,7.182,2.3
02-18 15:45,7.316,2.3
02-18 16:15,7.601,1.9
02-18 16:45,7.955,1.9
02-18 17:15,8.325,0.8
02-18 17:45,8.599,0.8
02-18 18:15,8.2,0.7
02-18 18:45,8.255,0.7
02-18 19:15,8.31,0.3
02-18 19:45,8.378,0.3
02-18 20:15,8.428,0.3
02-18 20:45,8.476,0.3
02-18 21:15,8.53,0.2
02-18 21:45,8.585,0.2
02-18 22:15,9.493,-0.2
02-18 22:45,9.493,-0.2
02-18 23:15,9.622,-0.1
02-18 23:45,9.586,-0.1
02-19 00:15,9.694,-0.4
02-19 00:45,9.724,-0.4
02-19 01:15,9.744,-0.4
02-19 01:45,9.75,-0.4
02-19 02:15,9.787,-1.0
02-19 02:45,9.857,-1.0
02-19 03:15,9.848,-0.1
02-19 03:45,9.758,-0.1
02-19 04:15,9.76,-1.0
02-19 04:45,9.856,-1.0
02-19 05:15,9.914,-1.1
02-19 05:45,9.931,-1.1
02-19 06:15,9.951,-1.3
02-19 06:45,9.978,-1.3
02-19 07:15,9.897,0.4
02-19 07:45,9.691,0.4
02-19 08:15,9.504,1.1
02-19 08:45,9.294,1.1
02-19 09:15,8.473,2.0
02-19 09:45,8.287,2.0
02-19 10:15,8.158,2.6
02-19 10:45,8.092,2.6
02-19 11:15,8.036,3.2
02-19 11:45,7.954,3.2
02-19 12:15,7.879,3.5
02-19 12:45,7.84,3.5
02-19 13:15,7.827,3.7
02-19 13:45,7.836,3.7
02-19 14:15,7.878,3.5
02-19 14:45,7.952,3.5
02-19 15:15,8.019,3.5
02-19 15:45,8.074,3.5
02-19 16:15,8.149,3.1
02-19 16:45,8.246,3.1
02-19 17:15,8.34,2.7
02-19 17:45,8.422,2.7
02-19 18:15,7.92,2.6
02-19 18:45,7.932,2.6
02-19 19:15,7.906,3.1
02-19 19:45,7.85,3.1
02-19 20:15,7.816,3.2
02-19 20:45,7.822,3.2
02-19 21:15,7.857,2.8
02-19 21:45,7.916,2.8
02-19 22:15,8.842,1.9
02-19 22:45,8.875,1.9
02-19 23:15,9.039,1.6
02-19 23:45,9.039,1.6
02-20 00:15,9.17,1.2
02-20 00:45,9.204,1.2
02-20 01:15,9.238,0.9
02-20 01:45,9.276,0.9
02-20 02:15,9.325,0.5
02-20 02:45,9.376,0.5
02-20 03:15,9.458,-0.5
02-20 03:45,9.577,-0.5
02-20 04:15,9.687,-1.2
02-20 04:45,9.782,-1.2
02-20 05:15,9.834,-1.1
02-20 05:45,9.844,-1.1
02-20 06:15,9.863,-1.2
02-20 06:45,9.892,-1.2
02-20 07:15,9.877,-0.9
02-20 07:45,9.787,-0.9
02-20 08:15,9.633,0.3
02-20 08:45,9.416,0.3
02-20 09:15,8.536,2.6
02-20 09:45,8.203,2.6
02-20 10:15,7.91,4.1
02-20 10:45,7.627,4.1
02-20 11:15,7.356,4.6
02-20 11:45,6.996,4.6
02-20 12:15,6.507,4.9
02-20 12:45,5.977,4.9
02-20 13:15,5.484,4.9
02-20 13:45,5.136,4.9
02-20 14:15,4.953,6.2
02-20 14:45,4.929,6.2
02-20 15:15,4.904,4.3
02-20 15:45,5.256,4.3
02-20 16:15,5.844,2.8
02-20 16:45,6.565,2.8
02-20 17:15,7.255,1.7
02-20 17:45,7.684,1.7
02-20 18:15,7.382,1.5
02-20 18:45,7.501,1.5
02-20 19:15,7.631,0.4
02-20 19:45,7.798,0.4
02-20 20:15,7.927,0.0
02-20 20:45,8.036,0.0
02-20 21:15,8.052,1.3
02-20 21:45,7.965,1.3
02-20 22:15,8.757,1.6
02-20 22:45,8.673,1.6
02-20 23:15,8.74,2.0
02-20 23:45,8.665,2.0
02-21 00:15,8.685,3.0
02-21 00:45,8.57,3.0
02-21 01:15,8.508,3.0
02-21 01:45,8.499,3.0
02-21 02:15,8.493,3.0
02-21 02:45,8.489,3.0
02-21 03:15,8.471,3.3
02-21 03:45,8.436,3.3
02-21 04:15,8.399,3.6
02-21 04:45,8.36,3.6
02-21 05:15,8.336,3.6
02-21 05:45,8.33,3.6
02-21 06:15,8.32,3.7
02-21 06:45,8.306,3.7
02-21 07:15,8.285,3.8
02-21 07:45,8.25,3.8
02-21 08:15,8.193,4.0
02-21 08:45,8.072,4.0
02-21 09:15,7.313,4.6
02-21 09:45,7.131,4.6
02-21 10:15,6.962,5.5
02-21 10:45,6.839,5.5
02-21 11:15,6.765,5.7
02-21 11:45,6.695,5.7
02-21 12:15,6.617,5.5
02-21 12:45,6.537,5.5
02-21 13:15,6.453,5.7
02-21 13:45,6.419,5.7
02-21 14:15,6.436,5.8
02-21 14:45,6.474,5.8
02-21 15:15,6.545,5.5
02-21 15:45,6.672,5.5
02-21 16:15,6.801,5.4
02-21 16:45,6.899,5.4
02-21 17:15,7.021,4.9
02-21 17:45,7.171,4.9
02-21 18:15,6.696,5.1
02-21 18:45,6.697,5.1
02-21 19:15,6.702,4.9
02-21 19:45,6.725,4.9
02-21 20:15,6.718,5.3
02-21 20:45,6.699,5.3
02-21 21:15,6.707,5.2
02-21 21:45,6.737,5.2
02-21 22:15,7.589,5.4
02-21 22:45,7.502,5.4
02-21 23:15,7.604,5.0
02-21 23:45,7.602,5.0
02-22 00:15,7.734,4.5
02-22 00:45,7.772,4.5
02-22 01:15,7.777,4.7
02-22 01:45,7.749,4.7
02-22 02:15,7.738,4.6
02-22 02:45,7.745,4.6
02-22 03:15,7.753,4.5
02-22 03:45,7.763,4.5
02-22 04:15,7.772,4.4
02-22 04:45,7.781,4.4
02-22 05:15,7.795,4.2
02-22 05:45,7.815,4.2
02-22 06:15,7.815,4.4
02-22 06:45,7.795,4.4
02-22 07:15,7.781,4.3
02-22 07:45,7.76,4.3
02-22 08:15,7.695,4.7
02-22 08:45,7.554,4.7
02-22 09:15,6.77,5.9
02-22 09:45,6.578,5.9
02-22 10:15,6.454,6.4
02-22 10:45,6.362,6.4
02-22 11:15,6.282,6.4
02-22 11:45,6.219,6.4
02-22 12:15,6.171,6.3
02-22 12:45,6.176,6.3
02-22 13:15,6.247,5.8
02-22 13:45,6.39,5.8
02-22 14:15,6.58,4.8
02-22 14:45,6.793,4.8
02-22 15:15,6.953,4.6
02-22 15:45,7.044,4.6
02-22 16:15,7.122,4.2
02-22 16:45,7.18,4.2
02-22 17:15,7.251,3.7
02-22 17:45,7.363,3.7
02-22 18:15,6.881,3.6
02-22 18:45,6.9,3.6
02-22 19:15,6.921,3.3
02-22 19:45,6.953,3.3
02-22 20:15,6.98,3.2
02-22 20:45,7.016,3.2
02-22 21:15,7.073,2.9
02-22 21:45,7.154,2.9
02-22 22:15,8.069,2.6
02-22 22:45,8.059,2.6
02-22 23:15,8.195,2.5
02-22 23:45,8.181,2.5
02-23 00:15,8.302,2.2
02-23 00:45,8.333,2.2
02-23 01:15,8.363,2.0
02-23 01:45,8.39,2.0
02-23 02:15,8.408,2.0
02-23 02:45,8.417,2.0
02-23 03:15,8.437,1.8
02-23 03:45,8.468,1.8
02-23 04:15,8.5,1.6
02-23 04:45,8.531,1.6
02-23 05:15,8.557,1.5
02-23 05:45,8.577,1.5
02-23 06:15,8.609,1.2
02-23 06:45,8.652,1.2
02-23 07:15,8.681,1.1
02-23 07:45,8.683,1.1
02-23 08:15,8.65,1.4
02-23 08:45,8.553,1.4
02-23 09:15,7.857,1.8
02-23 09:45,7.792,1.8
02-23 10:15,7.779,1.4
02-23 10:45,7.775,1.4
02-23 11:15,7.722,1.8
02-23 11:45,7.637,1.8
02-23 12:15,7.551,2.2
02-23 12:45,7.468,2.2
02-23 13:15,7.417,2.4
02-23 13:45,7.424,2.4
02-23 14:15,7.51,1.8
02-23 14:45,7.667,1.8
02-23 15:15,7.823,1.4
02-23 15:45,7.96,1.4
02-23 16:15,8.066,1.4
02-23 16:45,8.13,1.4
02-23 17:15,8.194,1.4
02-23 17:45,8.273,1.4
02-23 18:15,7.803,0.9
02-23 18:45,7.881,0.9
02-23 19:15,7.94,0.6
02-23 19:45,7.99,0.6
02-23 20:15,8.034,0.5
02-23 20:45,8.085,0.5
02-23 21:15,8.144,0.3
02-23 21:45,8.205,0.3
02-23 22:15,9.088,0.4
02-23 22:45,9.032,0.4
02-23 23:15,9.146,0.2
02-23 23:45,9.138,0.2
02-24 00:15,9.249,0.1
02-24 00:45,9.257,0.1
02-24 01:15,9.264,0.1
02-24 01:45,9.268,0.1
02-24 02:15,9.28,0.0
02-24 02:45,9.299,0.0
02-24 03:15,9.324,-0.2
02-24 03:45,9.355,-0.2
02-24 04:15,9.376,-0.2
02-24 04:45,9.388,-0.2
02-24 05:15,9.405,-0.3
02-24 05:45,9.429,-0.3
02-24 06:15,9.471,-0.7
02-24 06:45,9.529,-0.7
02-24 07:15,9.535,-0.3
02-24 07:45,9.469,-0.3
02-24 08:15,9.365,0.2
02-24 08:45,9.178,0.2
02-24 09:15,8.297,1.7
02-24 09:45,7.95,1.7
02-24 10:15,7.683,2.5
02-24 10:45,7.468,2.5
02-24 11:15,7.198,2.7
02-24 11:45,6.969,2.7
02-24 12:15,6.772,3.3
02-24 12:45,6.538,3.3
02-24 13:15,6.457,3.1
02-24 13:45,6.689,3.1
02-24 14:15,7.046,2.9
02-24 14:45,7.369,2.9
02-24 15:15,7.622,2.9
02-24 15:45,7.763,2.9
02-24 16:15,7.904,2.0
02-24 16:45,8.061,2.0
02-24 17:15,8.261,0.4
02-24 17:45,8.519,0.4
02-24 18:15,8.155,-0.3
02-24 18:45,8.267,-0.3
02-24 19:15,8.33,-0.3
02-24 19:45,8.354,-0.3
02-24 20:15,8.374,-0.2
02-24 20:45,8.405,-0.2
02-24 21:15,8.421,0.2
02-24 21:45,8.414,0.2
02-24 22:15,9.259,0.3
02-24 22:45,9.197,0.3
02-24 23:15,9.298,0.3
02-24 23:45,9.266,0.3
02-25 00:15,9.367,0.1
02-25 00:45,9.38,0.1
02-25 01:15,9.419,-0.5
02-25 01:45,9.485,-0.5
02-25 02:15,9.507,-0.2
02-25 02:45,9.485,-0.2
02-25 03:15,9.469,0.0
02-25 03:45,9.456,0.0
02-25 04:15,9.457,-0.1
02-25 04:45,9.472,-0.1
02-25 05:15,9.471,0.1
02-25 05:45,9.456,0.1
02-25 06:15,9.454,0.1
02-25 06:45,9.461,0.1
02-25 07:15,9.461,0.1
02-25 07:45,9.444,0.1
02-25 08:15,9.389,0.4
02-25 08:45,9.25,0.4
02-25 09:15,8.438,2.0
02-25 09:45,8.219,2.0
02-25 10:15,8.107,2.4
02-25 10:45,8.071,2.4
02-25 11:15,8.038,2.4
02-25 11:45,7.976,2.4
02-25 12:15,7.811,2.7
02-25 12:45,7.452,2.7
02-25 13:15,7.107,3.2
02-25 13:45,7.043,3.2
02-25 14:15,7.091,3.0
02-25 14:45,7.092,3.0
02-25 15:15,7.155,2.6
02-25 15:45,7.396,2.6
02-25 16:15,7.629,2.5
02-25 16:45,7.717,2.5
02-25 17:15,7.847,2.4
02-25 17:45,8.084,2.4
02-25 18:15,7.667,2.4
02-25 18:45,7.718,2.4
02-25 19:15,7.742,2.4
02-25 19:45,7.759,2.4
02-25 20:15,7.782,2.3
02-25 20:45,7.827,2.3
02-25 21:15,7.875,2.2
02-25 21:45,7.919,2.2
02-25 22:15,8.807,2.0
02-25 22:45,8.777,2.0
02-25 23:15,8.937,1.2
02-25 23:45,8.992,1.2
02-26 00:15,9.137,1.1
02-26 00:45,9.144,1.1
02-26 01:15,9.141,1.2
02-26 01:45,9.13,1.2
02-26 02:15,9.126,1.2
02-26 02:45,9.128,1.2
02-26 03:15,9.131,1.2
02-26 03:45,9.137,1.2
02-26 04:15,9.145,1.2
02-26 04:45,9.153,1.2
02-26 05:15,9.164,1.1
02-26 05:45,9.179,1.1
02-26 06:15,9.182,1.2
02-26 06:45,9.175,1.2
02-26 07:15,9.163,1.3
02-26 07:45,9.143,1.3
02-26 08:15,9.064,1.8
02-26 08:45,8.858,1.8
02-26 09:15,8.037,2.4
02-26 09:45,7.868,2.4
02-26 10:15,7.777,2.7
02-26 10:45,7.773,2.7
02-26 11:15,7.759,3.0
02-26 11:45,7.669,3.0
02-26 12:15,7.587,3.3
02-26 12:45,7.594,3.3
02-26 13:15,7.656,3.5
02-26 13:45,7.758,3.5
02-26 14:15,7.858,3.6
02-26 14:45,7.911,3.6
02-26 15:15,7.972,3.2
02-26 15:45,8.058,3.2
02-26 16:15,8.124,3.2
02-26 16:45,8.167,3.2
02-26 17:15,8.189,3.5
02-26 17:45,8.187,3.5
02-26 18:15,7.621,3.7
02-26 18:45,7.594,3.7
02-26 19:15,7.562,3.9
02-26 19:45,7.532,3.9
02-26 20:15,7.506,4.1
02-26 20:45,7.499,4.1
02-26 21:15,7.493,4.3
02-26 21:45,7.483,4.3
02-26 22:15,8.311,4.5
02-26 22:45,8.212,4.5
02-26 23:15,8.279,4.5
02-26 23:45,8.222,4.5
02-27 00:15,8.303,4.3
02-27 00:45,8.297,4.3
02-27 01:15,8.296,4.1
02-27 01:45,8.297,4.1
02-27 02:15,8.297,3.9
02-27 02:45,8.302,3.9
02-27 03:15,8.274,4.4
02-27 03:45,8.213,4.4
02-27 04:15,8.175,4.5
02-27 04:45,8.154,4.5
02-27 05:15,8.045,6.2
02-27 05:45,7.848,6.2
02-27 06:15,7.666,7.5
02-27 06:45,7.497,7.5
02-27 07:15,7.362,8.0
02-27 07:45,7.254,8.0
02-27 08:15,7.145,8.1
02-27 08:45,6.983,8.1
02-27 09:15,6.16,9.3
02-27 09:45,5.92,9.3
02-27 10:15,5.755,9.6
02-27 10:45,5.65,9.6
02-27 11:15,5.502,10.9
02-27 11:45,5.323,10.9
02-27 12:15,5.148,11.2
02-27 12:45,4.838,11.2
02-27 13:15,4.688,10.6
02-27 13:45,4.688,10.6
02-27 14:15,4.688,10.3
02-27 14:45,4.688,10.3
02-27 15:15,4.688,11.3
02-27 15:45,4.688,11.3
02-27 16:15,4.688,10.4
02-27 16:45,4.688,10.4
02-27 17:15,4.688,10.0
02-27 17:45,4.778,10.0
02-27 18:15,4.815,8.3
02-27 18:45,5.181,8.3
02-27 19:15,5.371,8.1
02-27 19:45,5.44,8.1
02-27 20:15,5.49,7.9
02-27 20:45,5.547,7.9
02-27 21:15,5.552,8.6
02-27 21:45,5.501,8.6
02-27 22:15,6.335,8.3
02-27 22:45,6.3,8.3
02-27 23:15,6.402,8.6
02-27 23:45,6.346,8.6
02-28 00:15,6.427,8.6
02-28 00:45,6.42,8.6
02-28 01:15,6.448,8.0
02-28 01:45,6.511,8.0
02-28 02:15,6.579,7.4
02-28 02:45,6.649,7.4
02-28 03:15,6.66,7.9
02-28 03:45,6.609,7.9
02-28 04:15,6.595,7.6
02-28 04:45,6.621,7.6
02-28 05:15,6.606,8.1
02-28 05:45,6.548,8.1
02-28 06:15,6.487,8.6
02-28 06:45,6.425,8.6
02-28 07:15,6.39,8.4
02-28 07:45,6.368,8.4
02-28 08:15,6.262,9.5
02-28 08:45,6.037,9.5
02-28 09:15,5.224,10.4
02-28 09:45,5.058,10.4
02-28 10:15,4.885,11.9
02-28 10:45,4.703,11.9
02-28 11:15,4.688,12.1
02-28 11:45,4.688,12.1
02-28 12:15,4.688,11.9
02-28 12:45,4.688,11.9
02-28 13:15,4.688,12.8
02-28 13:45,4.688,12.8
02-28 14:15,4.688,12.4
02-28 14:45,4.688,12.4
02-28 15:15,4.688,12.4
02-28 15:45,4.688,12.4
02-28 16:15,4.688,10.4
02-28 16:45,4.688,10.4
02-28 17:15,4.688,9.0
02-28 17:45,4.688,9.0
02-28 18:15,4.688,8.8
02-28 18:45,4.688,8.8
02-28 19:15,4.688,6.4
02-28 19:45,4.843,6.4
02-28 20:15,5.209,5.4
02-28 20:45,5.426,5.4
02-28 21:15,5.52,6.2
02-28 21:45,5.498,6.2
02-28 22:15,6.358,5.9
02-28 22:45,6.347,5.9
02-28 23:15,6.468,6.2
02-28 23:45,6.428,6.2
03-01 00:15,6.573,5.4
03-01 00:45,6.67,5.4
03-01 01:15,6.751,5.0
03-01 01:45,6.812,5.0
03-01 02:15,6.849,5.0
03-01 02:45,6.866,5.0
03-01 03:15,6.899,4.7
03-01 03:45,6.946,4.7
03-01 04:15,6.961,5.0
03-01 04:45,6.941,5.0
03-01 05:15,6.932,5.0
03-01 05:45,6.937,5.0
03-01 06:15,6.921,5.4
03-01 06:45,6.887,5.4
03-01 07:15,6.871,5.4
03-01 07:45,6.864,5.4
03-01 08:15,6.83,5.7
03-01 08:45,6.732,5.7
03-01 09:15,6.053,5.9
03-01 09:45,6.037,5.9
03-01 10:15,6.035,6.3
03-01 10:45,6.017,6.3
03-01 11:15,6.035,5.9
03-01 11:45,6.09,5.9
03-01 12:15,6.127,5.7
03-01 12:45,6.132,5.7
03-01 13:15,6.103,6.0
03-01 13:45,6.052,6.0
03-01 14:15,6.037,5.9
03-01 14:45,6.076,5.9
03-01 15:15,6.125,6.0
03-01 15:45,6.179,6.0
03-01 16:15,6.196,6.8
03-01 16:45,6.162,6.8
03-01 17:15,6.15,7.1
03-01 17:45,6.161,7.1
03-01 18:15,5.454,10.0
03-01 18:45,5.125,10.0
03-01 19:15,5.066,7.5
03-01 19:45,5.302,7.5
03-01 20:15,5.308,9.8
03-01 20:45,5.084,9.8
03-01 21:15,4.97,9.8
03-01 21:45,4.968,9.8
03-01 22:15,5.843,9.2
03-01 22:45,5.831,9.2
03-01 23:15,5.981,8.8
03-01 23:45,5.997,8.8
03-02 00:15,6.145,8.3
03-02 00:45,6.197,8.3
03-02 01:15,6.235,8.1
03-02 01:45,6.259,8.1
03-02 02:15,6.369,6.3
03-02 02:45,6.574,6.3
03-02 03:15,6.76,5.1
03-02 03:45,6.917,5.1
03-02 04:15,7.031,4.7
03-02 04:45,7.098,4.7
03-02 05:15,7.145,4.6
03-02 05:45,7.171,4.6
03-02 06:15,7.135,5.6
03-02 06:45,7.036,5.6
03-02 07:15,6.968,5.8
03-02 07:45,6.925,5.8
03-02 08:15,6.884,5.5
03-02 08:45,6.795,5.5
03-02 09:15,6.074,5.8
03-02 09:45,5.959,5.8
03-02 10:15,5.87,6.2
03-02 10:45,5.787,6.2
03-02 11:15,5.687,6.7
03-02 11:45,5.581,6.7
03-02 12:15,5.521,6.8
03-02 12:45,5.531,6.8
03-02 13:15,5.558,7.1
03-02 13:45,5.579,7.1
03-02 14:15,5.559,7.2
03-02 14:45,5.429,7.2
03-02 15:15,5.403,5.4
03-02 15:45,5.582,5.4
03-02 16:15,5.769,4.8
03-02 16:45,5.96,4.8
03-02 17:15,6.234,4.1
03-02 17:45,6.554,4.1
03-02 18:15,6.22,3.4
03-02 18:45,6.355,3.4
03-02 19:15,6.451,2.9
03-02 19:45,6.529,2.9
03-02 20:15,6.596,2.6
03-02 20:45,6.667,2.6
03-02 21:15,6.723,2.6
03-02 21:45,6.757,2.6
03-02 22:15,7.643,2.3
03-02 22:45,7.625,2.3
03-02 23:15,7.761,2.2
03-02 23:45,7.757,2.2
03-03 00:15,7.875,2.1
03-03 00:45,7.889,2.1
03-03 01:15,7.899,2.1
03-03 01:45,7.906,2.1
03-03 02:15,7.91,2.2
03-03 02:45,7.911,2.2
03-03 03:15,7.919,2.2
03-03 03:45,7.93,2.2
03-03 04:15,7.946,2.1
03-03 04:45,7.966,2.1
03-03 05:15,7.992,1.9
03-03 05:45,8.024,1.9
03-03 06:15,8.063,1.6
03-03 06:45,8.107,1.6
03-03 07:15,8.109,1.8
03-03 07:45,8.047,1.8
03-03 08:15,7.941,2.2
03-03 08:45,7.765,2.2
03-03 09:15,7.019,2.5
03-03 09:45,6.965,2.5
03-03 10:15,6.947,2.4
03-03 10:45,6.885,2.4
03-03 11:15,6.822,2.1
03-03 11:45,6.814,2.1
03-03 12:15,6.816,2.3
03-03 12:45,6.821,2.3
03-03 13:15,6.885,1.9
03-03 13:45,7.013,1.9
03-03 14:15,7.17,1.6
03-03 14:45,7.362,1.6
03-03 15:15,7.552,1.1
03-03 15:45,7.697,1.1
03-03 16:15,7.777,1.3
03-03 16:45,7.801,1.3
03-03 17:15,7.847,1.1
03-03 17:45,7.927,1.1
03-03 18:15,7.437,0.9
03-03 18:45,7.471,0.9
03-03 19:15,7.508,0.5
03-03 19:45,7.556,0.5
03-03 20:15,7.599,0.3
03-03 20:45,7.654,0.3
03-03 21:15,7.718,0.0
03-03 21:45,7.785,0.0
03-03 22:15,8.684,-0.2
03-03 22:45,8.656,-0.2
03-03 23:15,8.815,-0.8
03-03 23:45,8.869,-0.8
03-04 00:15,9.035,-1.1
03-04 00:45,9.083,-1.1
03-04 01:15,9.119,-1.2
03-04 01:45,9.146,-1.2
03-04 02:15,9.188,-1.6
03-04 02:45,9.245,-1.6
03-04 03:15,9.357,-3.0
03-04 03:45,9.527,-3.0
03-04 04:15,9.637,-3.2
03-04 04:45,9.689,-3.2
03-04 05:15,9.773,-3.3
03-04 05:45,9.839,-3.3
03-04 06:15,9.891,-3.3
03-04 06:45,9.933,-3.3
03-04 07:15,9.968,-3.3
03-04 07:45,9.99,-3.3
03-04 08:15,9.964,-2.9
03-04 08:45,9.83,-2.9
03-04 09:15,9.081,-2.4
