DateTime,Dry-bulb temperature (°C),Total system energy (kBtu/h),System natural gas (kBtu/h),System electricity (kBtu/h),Total lights energy (kBtu/h),Lights electricity (kBtu/h),Total equip energy (kBtu/h),Equip electricity (kBtu/h),Total CE ex equip (kgCO2/h),Total system CE (kgCO2/h),System nat. gas CE (kgCO2/h)
06-18 21:15,9.90,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-18 21:45,9.90,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-18 22:15,9.10,4.824,4.688,0.135,0.105,0.105,5.409,5.409,0.3,0.3,0.3
06-18 22:45,9.10,4.824,4.688,0.135,0.105,0.105,5.409,5.409,0.3,0.3,0.3
06-18 23:15,9.60,4.824,4.688,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
06-18 23:45,9.60,4.824,4.688,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
06-19 00:15,9.50,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-19 00:45,9.50,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-19 01:15,9.40,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-19 01:45,9.40,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-19 02:15,7.00,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-19 02:45,7.00,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-19 03:15,6.10,4.958,4.822,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-19 03:45,6.10,5.270,5.135,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-19 04:15,7.90,5.319,5.183,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-19 04:45,7.90,5.180,5.045,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-19 05:15,8.60,5.067,4.932,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-19 05:45,8.60,4.989,4.854,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-19 06:15,10.00,4.869,4.733,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-19 06:45,10.00,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-19 07:15,10.00,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-19 07:45,10.00,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-19 08:15,10.70,4.824,4.688,0.135,0.000,0.000,4.932,4.932,0.3,0.3,0.3
06-19 08:45,10.70,4.824,4.688,0.135,0.000,0.000,4.932,4.932,0.3,0.3,0.3
06-19 09:15,11.10,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-19 09:45,11.10,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-19 10:15,11.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-19 10:45,11.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-19 11:15,11.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-19 11:45,11.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-19 12:15,12.50,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-19 12:45,12.50,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-19 13:15,11.90,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-19 13:45,11.90,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-19 14:15,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-19 14:45,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-19 15:15,12.50,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-19 15:45,12.50,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-19 16:15,13.40,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-19 16:45,13.40,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-19 17:15,12.40,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-19 17:45,12.40,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-19 18:15,11.50,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
06-19 18:45,11.50,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
06-19 19:15,10.90,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
06-19 19:45,10.90,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
06-19 20:15,10.40,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-19 20:45,10.40,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-19 21:15,10.30,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-19 21:45,10.30,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-19 22:15,10.00,4.824,4.688,0.135,0.105,0.105,5.409,5.409,0.3,0.3,0.3
06-19 22:45,10.00,4.824,4.688,0.135,0.105,0.105,5.409,5.409,0.3,0.3,0.3
06-19 23:15,10.10,4.824,4.688,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
06-19 23:45,10.10,4.824,4.688,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
06-20 00:15,9.50,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-20 00:45,9.50,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-20 01:15,9.40,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-20 01:45,9.40,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-20 02:15,9.40,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-20 02:45,9.40,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-20 03:15,9.30,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-20 03:45,9.30,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-20 04:15,9.50,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-20 04:45,9.50,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-20 05:15,9.40,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-20 05:45,9.40,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-20 06:15,9.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-20 06:45,9.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-20 07:15,10.20,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-20 07:45,10.20,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-20 08:15,10.70,4.824,4.688,0.135,0.000,0.000,4.932,4.932,0.3,0.3,0.3
06-20 08:45,10.70,4.824,4.688,0.135,0.000,0.000,4.932,4.932,0.3,0.3,0.3
06-20 09:15,10.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-20 09:45,10.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-20 10:15,11.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-20 10:45,11.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-20 11:15,11.60,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-20 11:45,11.60,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-20 12:15,11.60,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-20 12:45,11.60,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-20 13:15,11.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-20 13:45,11.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-20 14:15,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-20 14:45,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-20 15:15,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-20 15:45,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-20 16:15,11.90,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-20 16:45,11.90,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-20 17:15,11.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-20 17:45,11.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-20 18:15,11.30,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
06-20 18:45,11.30,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
06-20 19:15,11.20,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
06-20 19:45,11.20,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
06-20 20:15,10.90,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-20 20:45,10.90,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-20 21:15,10.60,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-20 21:45,10.60,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-20 22:15,10.40,4.824,4.688,0.135,0.105,0.105,5.409,5.409,0.3,0.3,0.3
06-20 22:45,10.40,4.824,4.688,0.135,0.105,0.105,5.409,5.409,0.3,0.3,0.3
06-20 23:15,10.20,4.824,4.688,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
06-20 23:45,10.20,4.824,4.688,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
06-21 00:15,10.20,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-21 00:45,10.20,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-21 01:15,10.00,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-21 01:45,10.00,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-21 02:15,8.70,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-21 02:45,8.70,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-21 03:15,7.00,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-21 03:45,7.00,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-21 04:15,9.30,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-21 04:45,9.30,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-21 05:15,10.30,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-21 05:45,10.30,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-21 06:15,10.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-21 06:45,10.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-21 07:15,11.00,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-21 07:45,11.00,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-21 08:15,10.60,4.824,4.688,0.135,0.000,0.000,4.932,4.932,0.3,0.3,0.3
06-21 08:45,10.60,4.824,4.688,0.135,0.000,0.000,4.932,4.932,0.3,0.3,0.3
06-21 09:15,11.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-21 09:45,11.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-21 10:15,11.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-21 10:45,11.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-21 11:15,12.30,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-21 11:45,12.30,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-21 12:15,12.90,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-21 12:45,12.90,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-21 13:15,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-21 13:45,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-21 14:15,12.90,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-21 14:45,12.90,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-21 15:15,12.50,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-21 15:45,12.50,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-21 16:15,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-21 16:45,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-21 17:15,11.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-21 17:45,11.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-21 18:15,11.50,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
06-21 18:45,11.50,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
06-21 19:15,11.30,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
06-21 19:45,11.30,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
06-21 20:15,11.10,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-21 20:45,11.10,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-21 21:15,11.00,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-21 21:45,11.00,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-21 22:15,10.60,4.824,4.688,0.135,0.105,0.105,5.409,5.409,0.3,0.3,0.3
06-21 22:45,10.60,4.824,4.688,0.135,0.105,0.105,5.409,5.409,0.3,0.3,0.3
06-21 23:15,10.50,4.824,4.688,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
06-21 23:45,10.50,4.824,4.688,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
06-22 00:15,10.50,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-22 00:45,10.50,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-22 01:15,10.50,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-22 01:45,10.50,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-22 02:15,10.50,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-22 02:45,10.50,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-22 03:15,10.70,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-22 03:45,10.70,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-22 04:15,10.40,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-22 04:45,10.40,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-22 05:15,10.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-22 05:45,10.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-22 06:15,11.10,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-22 06:45,11.10,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-22 07:15,11.40,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-22 07:45,11.40,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-22 08:15,11.20,4.824,4.688,0.135,0.000,0.000,4.932,4.932,0.3,0.3,0.3
06-22 08:45,11.20,4.824,4.688,0.135,0.000,0.000,4.932,4.932,0.3,0.3,0.3
06-22 09:15,11.40,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-22 09:45,11.40,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-22 10:15,10.80,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-22 10:45,10.80,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-22 11:15,11.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-22 11:45,11.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-22 12:15,12.10,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-22 12:45,12.10,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-22 13:15,12.30,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-22 13:45,12.30,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-22 14:15,12.10,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-22 14:45,12.10,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-22 15:15,12.30,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-22 15:45,12.30,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-22 16:15,12.60,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-22 16:45,12.60,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-22 17:15,12.10,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-22 17:45,12.10,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-22 18:15,12.10,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
06-22 18:45,12.10,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
06-22 19:15,11.70,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
06-22 19:45,11.70,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
06-22 20:15,11.50,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-22 20:45,11.50,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-22 21:15,11.00,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-22 21:45,11.00,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-22 22:15,10.90,4.824,4.688,0.135,0.105,0.105,5.409,5.409,0.3,0.3,0.3
06-22 22:45,10.90,4.824,4.688,0.135,0.105,0.105,5.409,5.409,0.3,0.3,0.3
06-22 23:15,10.90,4.824,4.688,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
06-22 23:45,10.90,4.824,4.688,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
06-23 00:15,11.00,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-23 00:45,11.00,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-23 01:15,10.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-23 01:45,10.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-23 02:15,10.70,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-23 02:45,10.70,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-23 03:15,10.70,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-23 03:45,10.70,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-23 04:15,10.70,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-23 04:45,10.70,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-23 05:15,10.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-23 05:45,10.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-23 06:15,11.10,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-23 06:45,11.10,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-23 07:15,11.30,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-23 07:45,11.30,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-23 08:15,12.10,4.824,4.688,0.135,0.000,0.000,4.932,4.932,0.3,0.3,0.3
06-23 08:45,12.10,4.824,4.688,0.135,0.000,0.000,4.932,4.932,0.3,0.3,0.3
06-23 09:15,13.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-23 09:45,13.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-23 10:15,12.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-23 10:45,12.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-23 11:15,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-23 11:45,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-23 12:15,12.90,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-23 12:45,12.90,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-23 13:15,12.10,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-23 13:45,12.10,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-23 14:15,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-23 14:45,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-23 15:15,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-23 15:45,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-23 16:15,12.40,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-23 16:45,12.40,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-23 17:15,12.60,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-23 17:45,12.60,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-23 18:15,12.40,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
06-23 18:45,12.40,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
06-23 19:15,12.00,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
06-23 19:45,12.00,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
06-23 20:15,12.30,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-23 20:45,12.30,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-23 21:15,12.70,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-23 21:45,12.70,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
06-23 22:15,11.60,4.824,4.688,0.135,0.105,0.105,5.409,5.409,0.3,0.3,0.3
06-23 22:45,11.60,4.824,4.688,0.135,0.105,0.105,5.409,5.409,0.3,0.3,0.3
06-23 23:15,11.70,4.824,4.688,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
06-23 23:45,11.70,4.824,4.688,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
06-24 00:15,11.30,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-24 00:45,11.30,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-24 01:15,10.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-24 01:45,10.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-24 02:15,10.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-24 02:45,10.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-24 03:15,10.60,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-24 03:45,10.60,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-24 04:15,10.50,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-24 04:45,10.50,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-24 05:15,10.60,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-24 05:45,10.60,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-24 06:15,10.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-24 06:45,10.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-24 07:15,11.10,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-24 07:45,11.10,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
06-24 08:15,11.30,4.824,4.688,0.135,0.000,0.000,4.932,4.932,0.3,0.3,0.3
06-24 08:45,11.30,4.824,4.688,0.135,0.000,0.000,4.932,4.932,0.3,0.3,0.3
06-24 09:15,11.60,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
06-24 09:45,11.60,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
