DateTime,Dry-bulb temperature (°C),Total system energy (kBtu/h),System natural gas (kBtu/h),System electricity (kBtu/h),Total lights energy (kBtu/h),Lights electricity (kBtu/h),Total equip energy (kBtu/h),Equip electricity (kBtu/h),Total CE ex equip (kgCO2/h),Total system CE (kgCO2/h),System nat. gas CE (kgCO2/h)
01-02 18:15,3.50,7.260,7.125,0.135,0.105,0.105,5.678,5.678,0.5,0.4,0.4
01-02 18:45,3.50,7.267,7.132,0.135,0.105,0.105,5.678,5.678,0.5,0.4,0.4
01-02 19:15,2.80,7.308,7.173,0.135,0.105,0.105,5.678,5.678,0.5,0.4,0.4
01-02 19:45,2.80,7.385,7.249,0.135,0.105,0.105,5.678,5.678,0.5,0.5,0.4
01-02 20:15,2.60,7.441,7.305,0.135,0.105,0.105,4.829,4.829,0.5,0.5,0.4
01-02 20:45,2.60,7.495,7.360,0.135,0.105,0.105,4.829,4.829,0.5,0.5,0.5
01-02 21:15,1.90,7.581,7.446,0.135,0.105,0.105,4.829,4.829,0.5,0.5,0.5
01-02 21:45,1.90,7.687,7.551,0.135,0.105,0.105,4.829,4.829,0.5,0.5,0.5
01-02 22:15,1.80,8.601,8.465,0.135,0.105,0.105,5.409,5.409,0.5,0.5,0.5
01-02 22:45,1.80,8.570,8.435,0.135,0.105,0.105,5.409,5.409,0.5,0.5,0.5
01-02 23:15,1.00,8.737,8.602,0.135,0.000,0.000,2.999,2.999,0.5,0.5,0.5
01-02 23:45,1.00,8.801,8.666,0.135,0.000,0.000,2.999,2.999,0.5,0.5,0.5
01-03 00:15,1.00,8.947,8.811,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-03 00:45,1.00,8.951,8.816,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-03 01:15,0.40,8.992,8.857,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.5
01-03 01:45,0.40,9.070,8.935,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-03 02:15,0.30,9.127,8.992,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-03 02:45,0.30,9.160,9.025,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-03 03:15,0.20,9.193,9.057,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-03 03:45,0.20,9.223,9.088,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-03 04:15,-0.10,9.263,9.128,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-03 04:45,-0.10,9.314,9.179,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-03 05:15,-0.10,9.349,9.214,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-03 05:45,-0.10,9.367,9.232,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-03 06:15,-0.20,9.389,9.254,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-03 06:45,-0.20,9.419,9.283,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-03 07:15,-0.70,9.470,9.335,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-03 07:45,-0.70,9.544,9.408,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-03 08:15,-0.40,9.564,9.428,0.135,0.000,0.000,4.932,4.932,0.6,0.6,0.6
01-03 08:45,-0.40,9.485,9.350,0.135,0.000,0.000,4.932,4.932,0.6,0.6,0.6
01-03 09:15,0.00,8.796,8.661,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-03 09:45,0.00,8.725,8.590,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-03 10:15,1.00,8.625,8.489,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-03 10:45,1.00,8.464,8.329,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-03 11:15,2.40,8.250,8.115,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-03 11:45,2.40,8.008,7.872,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-03 12:15,2.60,7.838,7.702,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-03 12:45,2.60,7.757,7.622,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-03 13:15,1.80,7.757,7.622,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-03 13:45,1.80,7.851,7.716,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-03 14:15,0.70,7.953,7.818,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-03 14:45,0.70,8.023,7.888,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-03 15:15,-0.20,8.215,8.079,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-03 15:45,-0.20,8.586,8.451,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-03 16:15,0.00,8.834,8.699,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-03 16:45,0.00,8.942,8.807,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-03 17:15,-0.30,9.032,8.897,0.135,0.000,0.000,4.132,4.132,0.6,0.6,0.5
01-03 17:45,-0.30,9.127,8.991,0.135,0.000,0.000,4.132,4.132,0.6,0.6,0.6
01-03 18:15,0.30,8.603,8.468,0.135,0.105,0.105,5.678,5.678,0.5,0.5,0.5
01-03 18:45,0.30,8.564,8.428,0.135,0.105,0.105,5.678,5.678,0.5,0.5,0.5
01-03 19:15,1.00,8.511,8.376,0.135,0.105,0.105,5.678,5.678,0.5,0.5,0.5
01-03 19:45,1.00,8.451,8.315,0.135,0.105,0.105,5.678,5.678,0.5,0.5,0.5
01-03 20:15,0.30,8.465,8.330,0.135,0.105,0.105,4.829,4.829,0.5,0.5,0.5
01-03 20:45,0.30,8.572,8.437,0.135,0.105,0.105,4.829,4.829,0.5,0.5,0.5
01-03 21:15,0.20,8.654,8.519,0.135,0.105,0.105,4.829,4.829,0.5,0.5,0.5
01-03 21:45,0.20,8.703,8.568,0.135,0.105,0.105,4.829,4.829,0.5,0.5,0.5
01-03 22:15,0.50,9.568,9.433,0.135,0.105,0.105,5.409,5.409,0.6,0.6,0.6
01-03 22:45,0.50,9.488,9.353,0.135,0.105,0.105,5.409,5.409,0.6,0.6,0.6
01-03 23:15,0.70,9.567,9.432,0.135,0.000,0.000,2.999,2.999,0.6,0.6,0.6
01-03 23:45,0.70,9.514,9.378,0.135,0.000,0.000,2.999,2.999,0.6,0.6,0.6
01-04 00:15,1.20,9.568,9.433,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-04 00:45,1.20,9.508,9.373,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-04 01:15,1.00,9.488,9.353,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-04 01:45,1.00,9.506,9.371,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-04 02:15,0.90,9.521,9.386,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-04 02:45,0.90,9.532,9.397,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-04 03:15,1.70,9.495,9.360,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-04 03:45,1.70,9.407,9.272,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-04 04:15,4.40,9.211,9.076,0.135,0.000,0.000,2.912,2.912,0.6,0.6,0.6
01-04 04:45,4.40,8.903,8.768,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-04 05:15,5.00,8.694,8.559,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-04 05:45,5.00,8.595,8.460,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-04 06:15,4.30,8.572,8.436,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-04 06:45,4.30,8.620,8.484,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-04 07:15,5.70,8.559,8.423,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-04 07:45,5.70,8.386,8.251,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-04 08:15,5.90,8.264,8.128,0.135,0.000,0.000,4.932,4.932,0.5,0.5,0.5
01-04 08:45,5.90,8.151,8.016,0.135,0.000,0.000,4.932,4.932,0.5,0.5,0.5
01-04 09:15,8.10,7.335,7.200,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-04 09:45,8.10,7.038,6.902,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-04 10:15,9.20,6.807,6.671,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-04 10:45,9.20,6.629,6.494,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-04 11:15,9.60,6.485,6.350,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-04 11:45,9.60,6.381,6.245,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-04 12:15,9.90,6.293,6.158,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-04 12:45,9.90,6.233,6.097,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-04 13:15,9.50,6.221,6.086,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-04 13:45,9.50,6.265,6.129,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-04 14:15,9.10,6.316,6.180,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-04 14:45,9.10,6.355,6.219,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-04 15:15,7.90,6.463,6.328,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-04 15:45,7.90,6.660,6.525,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-04 16:15,7.00,6.831,6.696,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-04 16:45,7.00,6.967,6.832,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-04 17:15,6.50,7.072,6.936,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-04 17:45,6.50,7.146,7.011,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-04 18:15,5.30,6.690,6.555,0.135,0.105,0.105,5.678,5.678,0.4,0.4,0.4
01-04 18:45,5.30,6.812,6.676,0.135,0.105,0.105,5.678,5.678,0.4,0.4,0.4
01-04 19:15,5.10,6.886,6.750,0.135,0.105,0.105,5.678,5.678,0.4,0.4,0.4
01-04 19:45,5.10,6.915,6.779,0.135,0.105,0.105,5.678,5.678,0.4,0.4,0.4
01-04 20:15,4.40,6.974,6.839,0.135,0.105,0.105,4.829,4.829,0.4,0.4,0.4
01-04 20:45,4.40,7.078,6.943,0.135,0.105,0.105,4.829,4.829,0.4,0.4,0.4
01-04 21:15,4.50,7.143,7.008,0.135,0.105,0.105,4.829,4.829,0.4,0.4,0.4
01-04 21:45,4.50,7.164,7.028,0.135,0.105,0.105,4.829,4.829,0.4,0.4,0.4
01-04 22:15,4.30,8.037,7.901,0.135,0.105,0.105,5.409,5.409,0.5,0.5,0.5
01-04 22:45,4.30,8.001,7.865,0.135,0.105,0.105,5.409,5.409,0.5,0.5,0.5
01-04 23:15,3.90,8.131,7.996,0.135,0.000,0.000,2.999,2.999,0.5,0.5,0.5
01-04 23:45,3.90,8.136,8.000,0.135,0.000,0.000,2.999,2.999,0.5,0.5,0.5
01-05 00:15,2.40,8.326,8.191,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-05 00:45,2.40,8.481,8.346,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-05 01:15,2.40,8.567,8.432,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-05 01:45,2.40,8.578,8.443,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-05 02:15,2.30,8.594,8.459,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-05 02:45,2.30,8.613,8.478,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-05 03:15,2.40,8.621,8.486,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-05 03:45,2.40,8.617,8.481,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-05 04:15,2.50,8.610,8.475,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-05 04:45,2.50,8.604,8.468,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-05 05:15,2.90,8.582,8.446,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
